,county,latitude,longitude,vax_per_case
0,Lassen,40.53943889999999,-120.71200230000001,0.98
1,Kings,36.0988489,-119.88152029999999,1.11
2,Imperial,32.8475528,-115.56943909999998,1.47
3,San Bernardino,34.1083449,-117.2897652,1.55
4,Merced,37.3021632,-120.48296770000002,1.65
5,Kern,35.4937274,-118.8596804,1.95
6,Riverside,33.9806005,-117.3754942,1.97
7,Madera,36.961335600000005,-120.0607176,2.2
8,Tulare,36.20772879999999,-119.3473379,2.21
9,Stanislaus,37.5090711,-120.9876321,2.27
10,Tehama,40.0271015,-122.12332279999998,2.31
11,San Joaquin,36.6066162,-120.1890447,2.35
12,Yuba,39.2547027,-121.39989950000002,2.37
13,Los Angeles,34.0522342,-118.24368490000002,2.4
14,Colusa,39.2143343,-122.0094175,2.51
