administered_date,cumulative_total_doses,cumulative_doses_by_10000
2021-01-01,509458,50.9458
2021-01-10,973267,97.3267
2021-01-11,1080894,108.0894
2021-01-12,1193160,119.316
2021-01-13,1311540,131.154
2021-01-14,1434439,143.4439
2021-01-15,1575525,157.5525
2021-01-16,1654772,165.4772
2021-01-17,1698987,169.8987
2021-01-18,1791442,179.1442
2021-01-19,1932285,193.2285
2021-01-02,531605,53.1605
2021-01-20,2090248,209.0248
2021-01-21,2262046,226.2046
2021-01-22,2430349,243.0349
2021-01-23,2540384,254.0384
2021-01-24,2588880,258.888
2021-01-25,2745244,274.5244
2021-01-26,2912776,291.2776
2021-01-27,3091930,309.193
2021-01-28,3278205,327.8205
2021-01-29,3457392,345.7392
2021-01-03,532023,53.2023
2021-01-30,3579659,357.9659
2021-01-31,3633991,363.3991
2021-01-04,582698,58.2698
2021-01-05,638871,63.8871
2021-01-06,711655,71.1655
2021-01-07,803066,80.3066
2021-01-08,909183,90.9183
2021-01-09,950937,95.0937
2020-12-15,1131,0.1131
2020-12-16,9241,0.9241
2020-12-17,34939,3.4939
2020-12-18,78649,7.8649
2020-12-19,103698,10.3698
2020-12-20,122002,12.2002
2020-12-21,172285,17.2285
2020-12-22,222093,22.2093
2020-12-23,272260,27.226
2020-12-24,295422,29.5422
2020-12-25,278839,27.8839
2020-12-26,312568,31.2568
2020-12-27,319249,31.9249
2020-12-28,368177,36.8177
2020-12-29,419145,41.9145
2020-12-30,481986,48.1986
2020-12-31,511005,51.1005
2021-02-01,3809825,380.9825
2021-02-10,5533416,553.3416
2021-02-11,5795152,579.5152
2021-02-12,6065288,606.5288
2021-02-13,6230948,623.0948
2021-02-14,6318013,631.8013
2021-02-15,6465293,646.5293
2021-02-16,6713830,671.383
2021-02-17,6970282,697.0282
2021-02-18,7239212,723.9212
2021-02-19,7488290,748.829
2021-02-02,3994555,399.4555
2021-02-20,7638281,763.8281
2021-02-21,7687603,768.7603
2021-02-22,7872518,787.2518
2021-02-23,8092745,809.2745
2021-02-24,8372920,837.292
2021-02-25,8687437,868.7437
2021-02-26,9035889,903.5889
2021-02-27,9281056,928.1056
2021-02-28,9395595,939.5595
2021-02-03,4204312,420.4312
2021-02-04,4431343,443.1343
2021-02-05,4676080,467.608
2021-02-06,4828212,482.8212
2021-02-07,4891308,489.1308
2021-02-08,5075743,507.5743
2021-02-09,5285825,528.5825
2021-03-01,9645431,964.5431
2021-03-10,12077236,1207.7236
2021-03-11,12446653,1244.6653
2021-03-12,12832221,1283.2221
2021-03-13,13108740,1310.874
2021-03-14,13253589,1325.3589
2021-03-15,13547387,1354.7387
2021-03-16,13911601,1391.1601
2021-03-17,14289120,1428.912
2021-03-18,14679866,1467.9866
2021-03-19,15079965,1507.9965
2021-03-02,9919128,991.9128
2021-03-20,15367183,1536.7183
2021-03-21,15497198,1549.7198
2021-03-22,15774198,1577.4198
2021-03-23,16125498,1612.5498
2021-03-24,16506302,1650.6302
2021-03-25,16913166,1691.3166
2021-03-26,17335489,1733.5489
2021-03-27,17641175,1764.1175
2021-03-28,17804547,1780.4547
2021-03-29,18110622,1811.0622
2021-03-03,10243065,1024.3065
2021-03-30,18499152,1849.9152
2021-03-31,18916069,1891.6069
2021-03-04,10583701,1058.3701
2021-03-05,10912578,1091.2578
2021-03-06,11162735,1116.2735
2021-03-07,11287879,1128.7879
2021-03-08,11501951,1150.1951
2021-03-09,11765352,1176.5352
